stop_id,stop_name,stop_lat,stop_lon,location_type,month,month_name,day_type,hour,time_label,is_school_term,is_uni_term,boardings,alightings,net_flow,occupancy_pct
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,0,00:00,1,1,4,4,0,63
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,1,01:00,1,1,2,2,0,58
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,2,02:00,1,1,1,1,0,57
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,3,03:00,1,1,1,1,0,57
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,4,04:00,1,1,5,4,1,55
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,5,05:00,1,1,13,9,4,72
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,6,06:00,1,1,34,29,5,63
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,7,07:00,1,1,81,56,25,88
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,8,08:00,1,1,90,78,12,83
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,9,09:00,1,1,71,55,16,66
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,10,10:00,1,1,35,35,0,69
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,11,11:00,1,1,30,43,-13,67
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,12,12:00,1,1,60,56,4,75
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,13,13:00,1,1,38,39,-1,73
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,14,14:00,1,1,49,56,-7,62
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,15,15:00,1,1,64,40,24,62
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,16,16:00,1,1,94,79,15,104
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,17,17:00,1,1,95,87,8,87
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,18,18:00,1,1,60,59,1,90
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,19,19:00,1,1,44,49,-5,62
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,20,20:00,1,1,36,44,-8,75
LCT001,Leicester Train Station,52.6338,-1.1253,hub,1,January,weekday,21,21:00,1,1,25,27,-2,65
